waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3801.019,9202.377,89.27256,88.84227,38.7513,37.1119,0,0,0,0.07406016
3801.894,9208.735,25.18207,25.16928,38.7513,37.1119,0,0,0,0.0541596
3835.306,9219.344,32.85379,33.50384,27.1928,27.3126,0,0,0,0.1286028
3809.781,9206.615,17.62025,18.07463,16.6686,16.7605,0,0,0,0.09578133
3808.904,9206.615,43.22897,42.90554,22.8106,23.7287,0,0,0,0.08185484
3815.927,9229.964,7.310095,7.193738,19.7189,19.6997,0,0,0,0.4096381
3808.027,9206.615,21.27562,21.21233,16.6686,16.7605,0,0,0,0.07795499
3812.414,9215.099,36.49986,36.45821,36.7796,34.16,0,0,0,0.09059157
3809.781,9215.099,17.77848,17.78737,36.7796,34.16,0,0,0,0.2653733
3800.144,9198.14,189.4776,187.4198,26.6595,26.2058,0,0,0,0.02930426
3800.144,9191.788,88.15389,87.72407,25.4329,27.0061,0,0,0,0.05402733
3800.144,9204.496,8.694715,8.321064,16.132,15.4674,0,0,0,0.3889326
3800.144,9204.496,11.65001,8.643167,16.132,15.4674,0,0,0,0.3470999
3802.77,9208.735,19.22294,19.266,16.132,15.4674,0,0,0,0.09316535
3803.645,9189.672,32.12978,23.53418,25.8416,21.8473,0,0,0,0.2173972
3806.274,9191.788,29.50097,28.83654,35.6596,34.4521,0,0,0,0.2689091
3803.645,9193.904,17.93567,16.51173,26.0268,26.7992,0,0,0,0.2137843
3814.17,9196.021,21.8111,21.50401,18.995,20.6681,0,0,0,0.376886
3808.904,9212.978,23.80216,19.86911,18.8605,20.6896,0,0,0,0.1131638
3803.645,9187.556,7.630749,7.544025,35.2455,39.5504,0,0,0,0.1934931
3818.563,9206.615,17.38306,17.19284,6.13698,6.50579,0,0,0,0.2704326
3801.894,9210.856,2.732728,2.740759,25.0644,24.917,0,0,0,0.7073013
3801.019,9200.258,24.75962,24.71337,18.9949,18.5012,0,0,0,0.1061719
3829.129,9196.021,56.763,56.60188,20.1508,23.3936,0,0,0,0.3025554
3809.781,9204.496,32.16957,32.06962,23.1087,19.9741,0,0,0,0.1350446
3817.684,9225.714,1.836917,1.938165,26.4211,27.0162,0,0,0,0.737622
3822.082,9191.788,23.5047,23.35401,18.8465,18.9231,0,0,0,0.2210667
3817.684,9215.099,69.08723,69.56329,16.8152,16.5695,0,0,0,0.1156046
3817.684,9187.556,20.42696,19.65559,28.2976,20.3615,0,0,0,0.2693474
3821.202,9185.44,7.26971,7.04596,28.2976,20.3615,0,0,0,0.4979268
3819.443,9185.44,23.63197,22.58327,28.2976,20.3615,0,0,0,0.1718624
3821.202,9215.099,6.183256,4.912724,15.0814,15.8678,0,0,0,0.2714349
3803.645,9189.672,7.67039,7.610212,13.6712,18.9705,0,0,0,0.4411402
3803.645,9198.14,58.45747,58.57478,18.8685,18.0701,0,0,0,0.07906039
3819.443,9189.672,19.0365,18.98601,18.8384,22.0839,0,0,0,0.07242934
3797.519,9204.496,17.71302,17.78459,22.7056,23.2657,0,0,0,0.08524828
3801.894,9208.735,67.24263,67.34234,25.0644,24.917,0,0,0,0.09232071
3787.913,9196.021,64.3817,64.38795,29.6058,23.5626,0,0,0,0.07843108
3817.684,9219.344,17.1852,17.10103,25.8503,41.6323,0,0,0,0.1368286
3809.781,9206.615,14.2875,12.83212,22.6217,27.4439,0,0,0,0.2696283
3801.894,9202.377,14.72683,14.35624,24.7649,32.4642,0,0,0,0.2436636
3823.843,9215.099,10.15208,9.090594,21.0899,21.2809,0,0,0,0.1146301
3803.645,9215.099,6.600738,6.544439,21.6888,21.381,0,0,0,0.5044824
3822.962,9208.735,32.01126,31.91623,19.1565,20.6242,0,0,0,0.3785625
3808.904,9215.099,12.12724,12.22624,15.5031,12.7522,0,0,0,0.1791468
3815.927,9215.099,37.19837,37.57381,26.4148,30.1318,0,0,0,0.1088072
3800.144,9198.14,87.93655,88.13301,20.2054,21.0602,0,0,0,0.1320986
3827.366,9191.788,7.959728,7.864425,18.6654,24.2157,0,0,0,0.06971772
3813.292,9179.098,60.04327,60.09947,17.9825,21.1765,0,0,0,0.09083106
3802.77,9198.14,29.87594,29.87565,22.3422,23.9155,0,0,0,0.0642591
3805.397,9215.099,23.80522,23.17546,18.6382,17.6901,0,0,0,0.2673081
3807.15,9200.258,25.15746,25.43011,17.6034,20.2974,0,0,0,0.07864755
3803.645,9200.258,7.616954,7.813663,17.6034,20.2974,0,0,0,0.3843726
3808.904,9204.496,55.04394,54.52687,23.1087,19.9741,0,0,0,0.1135778
3808.904,9210.856,21.91565,21.87075,27.3336,28.7706,0,0,0,0.1766709
3815.048,9217.221,49.09098,49.39356,19.1565,20.6242,0,0,0,0.07419122
3812.414,9217.221,12.01466,11.84885,19.1565,20.6242,0,0,0,0.2033617
3793.15,9191.788,5.466769,5.331365,20.6721,23.651,0,0,0,0.344875
3808.904,9198.14,63.46536,63.28917,18.4765,16.741,0,0,0,0.1098908
3799.269,9200.258,9.241121,8.965891,16.6551,15.5258,0,0,0,0.3369598
3808.904,9200.258,21.58665,21.61597,22.2693,25.2654,0,0,0,0.0706996
3801.019,9187.556,29.02766,27.72458,18.5583,19.5049,0,0,0,0.2998608
3796.645,9193.904,24.71679,24.94979,18.5583,19.5049,0,0,0,0.07000107
3808.027,9196.021,57.16005,57.37068,18.4765,16.741,0,0,0,0.1356806
3810.658,9198.14,16.62009,16.52586,22.2693,25.2654,0,0,0,0.4818736
3792.277,9189.672,21.64587,21.37422,20.6721,23.651,0,0,0,0.4076509
3793.15,9187.556,9.247224,9.254786,20.6721,23.651,0,0,0,0.4717879
3809.781,9208.735,3.187318,3.32525,17.2789,17.845,0,0,0,0.8104903
3804.521,9204.496,7.097628,4.378379,19.1501,20.2862,0,0,0,0.2328436
3795.771,9181.212,5.297404,5.295481,21.3426,16.8086,0,0,0,0.5606651
3809.781,9208.735,18.67198,18.73431,26.8011,26.7145,0,0,0,0.1561682
3801.894,9217.221,33.93576,33.79611,24.9351,26.9046,0,0,0,0.1841121
3802.77,9212.978,21.61242,21.48344,24.9351,26.9046,0,0,0,0.4247884
3828.247,9208.735,71.61456,71.61848,27.1419,27.3093,0,0,0,0.08329788
3831.775,9208.735,56.14354,55.92631,27.1419,27.3093,0,0,0,0.08414647
3787.041,9189.672,45.69565,45.62952,19.3446,24.9175,0,0,0,0.07728682
3797.519,9189.672,43.63227,42.97622,15.9029,20.9422,0,0,0,0.2394554
3811.536,9215.099,28.27194,26.88623,16.512,22.8566,0,0,0,0.2901315
3811.536,9215.099,32.68025,31.4327,16.512,22.8566,0,0,0,0.4872153
3796.645,9196.021,29.52572,29.07723,18.7869,19.8164,0,0,0,0.1344054
3831.775,9193.904,21.03385,21.25333,21.7098,20.8132,0,0,0,0.1644164
3814.17,9219.344,27.44131,27.15125,17.211,18.7678,0,0,0,0.1149231
3820.322,9191.788,38.00133,37.83663,20.4473,26.1215,0,0,0,0.06258143
3813.292,9215.099,27.45509,21.16603,24.5665,30.8643,0,0,0,0.2216219
3806.274,9198.14,5.726958,6.104967,20.7667,22.9071,0,0,0,0.4848011
3807.15,9206.615,3.432572,3.402305,22.6217,27.4439,0,0,0,0.41487
3807.15,9206.615,11.39507,11.13182,22.6217,27.4439,0,0,0,0.245398
3804.521,9193.904,14.32839,14.17051,19.0293,18.0284,0,0,0,0.1555399
3805.397,9061.498,42.92037,42.73531,24.7649,32.4642,0,0,0,0.1422006
3808.027,9196.021,18.84244,18.56448,23.9627,25.0252,0,0,0,0.1481561
3802.77,9208.735,14.17096,10.14421,21.8487,30.3222,0,0,0,0.1539806
3822.962,9215.099,7.170964,7.382115,21.0899,21.2809,0,0,0,0.1138688
3805.397,9204.496,46.65908,45.49837,19.6971,22.0525,0,0,0,0.3666774
3808.027,9200.258,15.71288,15.34819,15.3455,18.5017,0,0,0,0.1130985
3807.15,9189.672,2.909849,2.947409,15.3455,18.5017,0,0,0,0.4510447
3811.536,9212.978,24.95599,23.90532,15.3455,18.5017,0,0,0,0.1822781
3815.927,9215.099,74.22637,73.87746,18.4371,19.2891,0,0,0,0.1203098
3813.292,9210.856,16.71734,16.22936,22.1989,19.7236,0,0,0,0.3008471
3815.048,9215.099,16.15985,16.23628,23.5188,26.5937,0,0,0,0.3816607
3808.027,9210.856,9.000033,9.225287,15.9514,17.1376,0,0,0,0.5563423
3799.269,9204.496,101.7975,101.8974,12.815,14.2722,0,0,0,0.08830133
3806.274,9215.099,20.69889,20.6497,16.4707,15.4772,0,0,0,0.3227123
3810.658,9191.788,7.164112,6.11462,18.2888,16.3167,0,0,0,0.3506429
3807.15,9206.615,20.36815,19.50838,21.4359,23.4879,0,0,0,0.2202926
3816.805,9217.221,62.68862,62.63827,22.5329,17.8883,0,0,0,0.1097168
3822.962,9040.657,34.07043,24.58664,22.5329,17.8883,0,0,0,0.1725337
3798.394,9204.496,37.7551,37.3548,18.0986,21.1641,0,0,0,0.2904295
3803.645,9200.258,23.81933,22.40035,13.5415,15.9017,0,0,0,0.006840801
