waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3811.536,9202.377,7.040339,7.078221,34.6761,43.7582,0,0,0,1.641554
3804.521,9198.14,21.04307,20.97945,27.1237,28.1927,0,0,0,0.1430528
3808.904,9215.099,24.87283,22.59274,16.6812,17.8395,0,0,0,3.648712
3601.637,10353.81,3.855292,3.723832,37.623,43.83,0,0,0,2.511019
3819.443,9189.672,48.86273,48.35336,19.5941,22.7014,0,0,0,1.317205
3601.637,10322.86,45.977,46.05997,36.3191,41.4074,0,0,0,2.305373
3601.637,10351.42,17.93067,17.56924,61.0797,63.4192,0,0,0,2.977017
3601.637,10351.42,6.538911,6.39213,61.0797,63.4192,0,0,0,2.828555
3800.144,9204.496,65.30888,65.46761,17.102,18.2545,0,0,0,0.5706037
3800.144,9204.496,27.20747,27.31529,17.102,18.2545,0,0,0,1.826905
3601.637,10384.84,3.072907,2.999566,33.6818,33.8516,0,0,0,2.192674
3601.637,10384.84,4.676518,4.490634,33.6818,33.8516,0,0,0,0.817122
3601.637,10353.81,7.045367,7.232473,37.0434,38.979,0,0,0,2.44903
3601.637,10349.04,4.65941,4.600292,37.623,43.83,0,0,0,2.420309
3601.637,10325.24,2.64488,2.704183,36.3191,41.4074,0,0,0,2.342063
3601.637,10282.53,14.50508,14.27325,59.9728,55.4509,0,0,0,2.204709
3601.637,10282.53,21.23754,21.69762,59.9728,55.4509,0,0,0,2.339283
3601.637,10282.53,7.479308,7.401986,59.9728,55.4509,0,0,0,1.441545
3601.637,10384.84,4.294747,4.241479,33.6818,33.8516,0,0,0,1.942438
3601.637,10353.81,4.327771,4.347532,37.0434,38.979,0,0,0,2.4461
3801.019,9206.615,11.17023,10.89888,18.0526,19.3508,0,0,0,1.922684
3801.894,9206.615,35.42041,35.43707,18.0526,19.3508,0,0,0,0.8519788
3809.781,9198.14,119.237,111.5186,27.1237,28.1927,0,0,0,3.709981
3808.904,9198.14,29.65685,29.60872,27.1237,28.1927,0,0,0,1.060721
3601.637,10349.04,5.205383,5.070279,37.623,43.83,0,0,0,2.487679
3601.637,10325.24,5.527547,5.426239,36.3191,41.4074,0,0,0,2.526946
3601.637,10329.99,11.20039,11.05007,36.3191,41.4074,0,0,0,2.407115
3601.637,10322.86,2.340086,2.228662,36.3191,41.4074,0,0,0,2.566539
3601.637,10284.9,3.458383,3.346325,59.9728,55.4509,0,0,0,2.009331
3808.027,9215.099,32.83648,32.74572,16.6812,17.8395,0,0,0,1.355875
3803.645,9215.099,45.81617,45.95272,16.6812,17.8395,0,0,0,1.622166
3805.397,9208.735,47.44672,47.08035,19.7277,17.4551,0,0,0,2.523684
3601.637,10358.57,4.081931,4.061148,27.34,36.7115,0,0,0,3.739197
3601.637,10353.81,58.23013,58.12199,42.3292,45.4002,0,0,0,1.404721
3816.805,9238.469,75.19712,75.07907,30.8119,18.7228,0,0,0,0.8307654
3817.684,9236.342,71.22758,70.72378,30.8119,18.7228,0,0,0,0.5115911
3806.274,9212.978,12.9922,13.35193,19.5941,22.7014,0,0,0,0.5928114
3601.637,10358.57,5.891727,5.726898,27.34,36.7115,0,0,0,2.643164
3601.637,10358.57,2.58783,2.997495,27.34,36.7115,0,0,0,3.165778
3826.485,9251.241,27.84522,27.11137,26.8278,23.5305,0,0,0,2.271902
3819.443,9212.978,20.65547,20.63861,28.999,31.1194,0,0,0,1.918669
3805.397,9206.615,23.18352,22.6756,19.7277,17.4551,0,0,0,0.6327772
3601.637,10334.75,25.18689,24.83028,36.5558,35.157,0,0,0,2.155546
3601.637,10337.13,8.317016,8.152514,36.5558,35.157,0,0,0,2.186849
3822.962,9212.978,20.92067,20.85834,28.999,31.1194,0,0,0,1.321709
