waveMin,waveMax,spectroFlux_r,spectroSynFlux_r,sn1_r,sn2_r,elodieBV,elodieTEff,elodieLogG,z
3801.019,9215.099,224.7574,222.5597,17.9575,18.8519,1.069,4382,4.64,9.677671E-05
3801.894,9215.099,36.96029,36.51618,17.9575,18.8519,1.371,3890,4.5,6.372166E-05
3800.144,9215.099,29.75063,29.49921,17.9575,18.8519,1.491,3980,4.958,0.0002725764
3796.645,9210.856,7.170038,7.136838,17.9575,18.8519,1.502,3717,4.89,0.0003300613
3802.77,9198.14,90.67487,90.49046,16.9502,21.4879,1.371,3890,4.5,9.721275E-05
3824.723,9215.099,11.04115,10.8283,69.1266,80.759,0.492,5476,4.63,0.0008632686
3805.397,9215.099,18.99759,18.98519,19.4284,19.2351,0,7500,2,0.000628347
3813.292,9208.735,19.95611,20.13468,13.5091,14.4939,0,6500,4,0.0005379187
3827.366,9191.788,146.486,146.6301,134.883,113.872,0,6000,4,0.0002387701
3820.322,9215.099,199.411,202.6901,20.3333,22.0546,0,7500,4,0.0004766897
3601.637,10294.38,3.889434,3.921531,34.1088,44.5753,0.647,4949,1.32,9.139112E-05
3601.637,10382.45,6.497468,6.397652,39.9653,45.0047,0.18,6537,2.497,0.0003818322
3826.485,9189.672,116.01,115.5595,134.883,113.872,0.652,5455,4.34,1.262426E-05
3826.485,9189.672,103.1474,102.9017,134.883,113.872,0,6000,4,2.646297E-05
3794.897,9208.735,8.245207,8.004664,18.0526,19.3508,1.502,3717,4.89,3.265922E-06
3601.637,10296.75,12.80052,12.51853,27.34,36.7115,1.674,3796,1.532,5.128461E-05
3818.563,9191.788,143.1205,142.1841,27.0645,29.8015,1.176,4246,4.24,2.335366E-05
3794.897,9210.856,10.6083,10.66253,18.0526,19.3508,0,7500,4,0.0001284023
3800.144,9206.615,4.957962,4.828029,18.0526,19.3508,0,8500,2,0.0005253202
3801.894,9189.672,26.62577,26.2921,23.6862,28.895,0,7500,2,0.0003826216
3801.019,9193.904,53.99237,54.01917,23.6862,28.895,0.116,7652,4.287,8.012831E-06
3822.962,9206.615,18.16596,18.04462,73.2546,76.402,0,6500,4,0.0002245788
3822.962,9206.615,55.41053,55.17887,73.2546,76.402,0,6000,4,0.0004090796
3831.775,9206.615,26.74339,26.66483,73.2546,76.402,0.6,5630,4.5,0.0007416902
3829.129,9206.615,13.24792,13.05074,73.2546,76.402,0.767,5232,4.6,0.0002430621
3827.366,9206.615,26.16082,26.23549,73.2546,76.402,0.811,5059,4.45,5.961366E-05
3810.658,9208.735,10.277,10.24017,81.9167,99.3065,0,6500,4,0.0003269468
3810.658,9208.735,39.82726,39.68385,81.9167,99.3065,0.754,5047,4.59,0.0003719044
3811.536,9210.856,8.907483,8.866982,81.9167,99.3065,0.816,4845,3.427,0.0002097133
3810.658,9208.735,6.994802,6.908189,81.9167,99.3065,0.313,6808,4.2,0.0006442111
3809.781,9208.735,47.51463,47.37522,81.9167,99.3065,0.661,5152,2.4,0.0001245792
3809.781,9210.856,9.696523,9.620095,81.9167,99.3065,0.359,5880,4,0.0003308397
3830.011,9174.872,8.199127,8.419759,69.1266,80.759,0.105,7809,4.164,0.0001879384
3826.485,9208.735,34.98415,35.20989,73.2546,76.402,0,7500,4,0.0009273207
3830.011,9206.615,17.26697,17.21473,73.2546,76.402,0,6000,2,0.0008623748
3827.366,9206.615,19.48972,19.40745,73.2546,76.402,0,6000,4,0.001257255
3826.485,9206.615,27.8823,27.60391,73.2546,76.402,0.704,5320,4.49,8.298851E-06
3808.904,9208.735,39.58561,39.41859,81.9167,99.3065,0.486,5790,3.7,0.0004375679
